price,size,ts,is_bid
3980.51,2.18011783,1553082222.572691,bid
3980.51,0.75879922,1553082222.572691,bid
3980.51,0.05,1553082222.572691,bid
3980.51,2.0,1553082222.572691,bid
3980.5,0.02,1553082222.572691,bid
3980.0,0.00328665,1553082222.572691,bid
3979.99,1.0,1553082222.572691,bid
3979.88,0.05025277,1553082222.572691,bid
3979.76,0.001,1553082222.572691,bid
3979.48,0.18033987,1553082222.572691,bid
3979.28,3.0,1553082222.572691,bid
3979.13,0.001,1553082222.572691,bid
3978.65,0.76,1553082222.572691,bid
3978.64,1.0,1553082222.572691,bid
3978.27,6.0,1553082222.572691,bid
3978.27,0.1,1553082222.572691,bid
3978.26,0.77301666,1553082222.572691,bid
3978.14,0.2,1553082222.572691,bid
3978.11,1.0,1553082222.572691,bid
3978.01,11.0,1553082222.572691,bid
3977.99,0.00586477,1553082222.572691,bid
3977.87,0.001,1553082222.572691,bid
3977.85,6.28,1553082222.572691,bid
3977.58,0.001,1553082222.572691,bid
3977.57,1.0,1553082222.572691,bid
3977.57,0.01,1553082222.572691,bid
3977.51,0.2,1553082222.572691,bid
3977.08,1.0,1553082222.572691,bid
3977.0,0.03198074,1553082222.572691,bid
3976.99,10.0,1553082222.572691,bid
3976.98,0.2,1553082222.572691,bid
3976.74,0.001,1553082222.572691,bid
3976.66,0.67442019,1553082222.572691,bid
3976.63,1.0,1553082222.572691,bid
3976.63,4.0,1553082222.572691,bid
3976.52,0.34,1553082222.572691,bid
3976.48,0.21,1553082222.572691,bid
3976.48,0.01210766,1553082222.572691,bid
3976.47,0.2,1553082222.572691,bid
3976.47,0.001,1553082222.572691,bid
3976.42,0.25148000000000004,1553082222.572691,bid
3976.38,0.0125743,1553082222.572691,bid
3976.36,0.14861329999999998,1553082222.572691,bid
3976.33,1.0,1553082222.572691,bid
3976.2,7.540230800000001,1553082222.572691,bid
3976.03,0.97105232,1553082222.572691,bid
3976.0,0.41857562,1553082222.572691,bid
3975.99,0.00586772,1553082222.572691,bid
3975.99,0.001,1553082222.572691,bid
3975.99,0.001,1553082222.572691,bid
3975.99,0.00313883,1553082222.572691,bid
3975.99,0.1,1553082222.572691,bid
3975.99,0.03921,1553082222.572691,bid
3975.99,0.00209507,1553082222.572691,bid
3975.99,0.25,1553082222.572691,bid
3975.99,0.0218,1553082222.572691,bid
3975.99,0.003,1553082222.572691,bid
3975.93,0.001,1553082222.572691,bid
3975.91,7.75545365,1553082222.572691,bid
3975.91,0.09,1553082222.572691,bid
3975.89,5.0,1553082222.572691,bid
3975.83,0.2,1553082222.572691,bid
3975.83,1.0,1553082222.572691,bid
3975.76,0.7310323000000001,1553082222.572691,bid
3975.33,0.02515514,1553082222.572691,bid
3975.3,0.0061,1553082222.572691,bid
3975.29,1.13488571,1553082222.572691,bid
3975.29,0.0028,1553082222.572691,bid
3975.29,0.01414079,1553082222.572691,bid
3975.29,1.0,1553082222.572691,bid
3975.28,0.0028,1553082222.572691,bid
3975.26,3.237,1553082222.572691,bid
3975.25,0.2,1553082222.572691,bid
3975.13,0.40200182,1553082222.572691,bid
3975.01,0.5815300999999999,1553082222.572691,bid
3975.0,3.08468926,1553082222.572691,bid
3975.0,0.01,1553082222.572691,bid
3975.0,0.25157232,1553082222.572691,bid
3975.0,0.01257861,1553082222.572691,bid
3975.0,0.001,1553082222.572691,bid
3975.0,0.01327318,1553082222.572691,bid
3975.0,0.05031447,1553082222.572691,bid
3975.0,0.12578616,1553082222.572691,bid
3975.0,0.2,1553082222.572691,bid
3975.0,0.0025,1553082222.572691,bid
3975.0,0.0028,1553082222.572691,bid
3975.0,2.0,1553082222.572691,bid
3974.99,4.34,1553082222.572691,bid
3974.98,0.51001262,1553082222.572691,bid
3974.85,0.22,1553082222.572691,bid
3974.84,0.001,1553082222.572691,bid
3974.74,1.0,1553082222.572691,bid
3974.66,0.01,1553082222.572691,bid
3974.59,0.053769000000000004,1553082222.572691,bid
3974.55,0.5,1553082222.572691,bid
3974.5,0.06290099,1553082222.572691,bid
3974.38,0.001,1553082222.572691,bid
3974.3,0.01,1553082222.572691,bid
3974.24,0.2,1553082222.572691,bid
3974.11,0.03,1553082222.572691,bid
3974.02,1.0,1553082222.572691,bid
3974.0,0.002516,1553082222.572691,bid
3973.74,0.5,1553082222.572691,bid
3973.51,3.93,1553082222.572691,bid
3973.36,0.25,1553082222.572691,bid
3973.36,1.5,1553082222.572691,bid
3973.33,0.2,1553082222.572691,bid
3973.24,0.2,1553082222.572691,bid
3973.07,0.001,1553082222.572691,bid
3973.06,0.76209493,1553082222.572691,bid
3973.02,1.0,1553082222.572691,bid
3973.01,0.01,1553082222.572691,bid
3973.0,0.0025,1553082222.572691,bid
3972.87,0.728446,1553082222.572691,bid
3972.73,1.60000397,1553082222.572691,bid
3972.64,0.98078361,1553082222.572691,bid
3972.6,0.10753800000000001,1553082222.572691,bid
3972.56,3.127,1553082222.572691,bid
3972.44,50.0,1553082222.572691,bid
3972.34,0.001,1553082222.572691,bid
3972.32,1.0,1553082222.572691,bid
3972.32,1.0,1553082222.572691,bid
3972.24,0.2,1553082222.572691,bid
3972.23,0.1,1553082222.572691,bid
3972.01,0.01,1553082222.572691,bid
3972.0,0.0125881,1553082222.572691,bid
3972.0,0.01258811,1553082222.572691,bid
3972.0,0.0025,1553082222.572691,bid
3971.99,0.00476196,1553082222.572691,bid
3971.99,0.01,1553082222.572691,bid
3971.96,1.0,1553082222.572691,bid
3971.96,3.74,1553082222.572691,bid
3971.86,0.2,1553082222.572691,bid
3971.81,0.25146999999999997,1553082222.572691,bid
3971.79,24.37199562,1553082222.572691,bid
3971.79,1.00710259,1553082222.572691,bid
3971.61,0.001,1553082222.572691,bid
3971.38,0.001,1553082222.572691,bid
3971.31,0.01166118,1553082222.572691,bid
3971.24,0.2,1553082222.572691,bid
3971.12,0.5,1553082222.572691,bid
3971.0,1.0,1553082222.572691,bid
3971.0,0.0252,1553082222.572691,bid
3970.96,0.001,1553082222.572691,bid
3970.83,0.2,1553082222.572691,bid
3970.82,0.64868932,1553082222.572691,bid
3970.29,0.01,1553082222.572691,bid
3970.25,0.005,1553082222.572691,bid
3970.24,1.00239564,1553082222.572691,bid
3970.18,4.18,1553082222.572691,bid
3970.03,3.56765444,1553082222.572691,bid
3970.0,1.0,1553082222.572691,bid
3970.0,1.0,1553082222.572691,bid
3970.0,0.01,1553082222.572691,bid
3970.0,1.0,1553082222.572691,bid
3970.0,0.01,1553082222.572691,bid
3970.0,0.01,1553082222.572691,bid
