price,asks,bids
3346.0,,0.00119545
3349.37,,0.037
3350.0,,7.18128953
3350.1,,0.00014924
3351.0,,0.03692927
3351.67,,0.11725497999999998
3352.28,,0.8
3353.03,,0.8
3355.0,,0.059612509999999994
3359.58,,0.00892968
3360.0,,0.01473214
3360.1,,8.928e-05
3360.93,,0.2
3362.0,,0.03786139
3370.0,,0.05876261000000001
3370.1,,8.901e-05
3374.0,,0.00207468
3375.0,,1.53007406
3375.1,,0.00014814
3376.39,,0.03
3377.0,,1.144228
3378.61,,0.01621968
3380.0,,1.46428697
3380.1,,8.875e-05
3381.11,,0.14788042
3381.53,,0.03319068
3383.12,,4.0
3383.6,,0.02012017
3385.0,,4.7915
3386.1,,0.00997492
3388.0,,1.1
3388.06,,0.00906293
3388.88,,0.0812
3389.17,,0.00905249
3390.0,,1.07346016
3390.08,,0.14779232
3390.1,,8.849e-05
3390.12,,1.37623592
3390.13,,0.02177941
3390.32,,0.014581719999999998
3391.02,,0.00256298
3391.03,,0.01089186
3392.67,,0.05108763000000001
3393.45,,0.02186267
3394.63,,0.00806494
3395.0,,0.1664212
3395.04,,2.1
3395.67,,1.8695
3399.47,,0.00902332
3399.82,,0.01825383
3400.0,,27.046999890000002
3400.1,,0.00026469
3400.5,,0.05512204
3400.56,,0.029406919999999996
3400.75,,0.02560702
3401.0,,0.28194647
3401.25,,0.03202646
3402.17,,4.0
3402.41,,0.010656
3402.61,,0.00898001
3402.85,,1e-05
3402.99,,0.03655984
3403.76,,0.07454112
3404.69,,0.0034670300000000003
3405.0,,39.07767988
3406.56,,0.01818709
3406.69,,0.01823181
3407.69,,0.04401808
3408.51,,0.00439881
3408.56,,0.00146689
3408.95,,0.13776298
3409.27,,0.014501759999999999
3409.56,,0.02926815
3409.77,,0.0145171
3410.0,,1.46929617
3410.1,,0.00011729
3410.46,,0.1651122
3411.06,,0.3478
3411.11,,9.826999999999999e-05
3411.32,,0.20135427999999997
3411.89,,0.007161490000000001
3411.93,,0.12439039999999998
3412.4,,0.01451443
3412.41,,0.014534750000000003
3412.79,,0.029228739999999996
3412.88,,0.02095727
3413.08,,0.29068085
3413.83,,0.01079248
3413.91,,0.02183443
3413.94,,0.02276979
3414.11,,0.0034698
3414.51,,0.05490596
3414.6,,0.01820337
3414.88,,0.01543363
3414.94,,0.02731439
3415.06,,0.00805891
3415.16,,0.0034939999999999997
3415.26,,0.56968622
3415.36,,0.02183247
3415.73,,0.01541888
3415.74,,0.01819467
3415.79,,0.14491523
3416.1,,0.00806453
3416.11,,0.00346505
3416.47,,0.13734699
3416.69,,0.01811445
3417.06,,0.35984115
3417.26,,0.03653865
3417.88,,0.04747813
3417.91,,0.00897411
3418.11,,0.01081551
3419.07,,0.0034591000000000005
3419.46,,0.21543837
3419.5,,7.131e-05
3419.55,,0.0659775
3419.99,,0.03281191
3420.0,,3.67239426
3420.1,,0.00020466
3420.22,,0.00712706
3420.53,,0.025462660000000005
3420.59,,0.0218397
3420.9,,0.39501479
3420.98,,0.00345685
3421.0,,0.00540777
3421.03,,0.01812332
3421.17,,0.02000256
3421.68,,0.20592968000000003
3421.75,,1.0
3422.32,,0.26225165
3422.91,,0.012610840000000002
3423.0,,0.0034610299999999995
3423.37,,0.04560802
3423.59,,0.00896378
3423.81,,0.00896919
3423.91,,0.03645453
3424.0,,20.0
3424.81,,0.8681536399999998
3425.0,,0.11700000000000002
3425.1,,0.00014598
3425.28,,0.01808912
3425.52,,0.01079798
3425.71,,0.007118080000000001
3425.79,,0.0034584199999999994
3425.86,,0.07294999
3425.9,,0.014413480000000001
3425.94,,0.02
3425.97,,0.01441247
3426.26,,0.01808504
3426.55,,0.00895199
3426.76,,0.00892507
3426.88,,0.02959543
3427.61,,0.00711197
3428.24,,0.01807321
3428.45,,0.007121959999999999
3428.99,,0.02012254
3429.1,,0.19068081
3429.49,,0.00344462
3429.67,,0.01529935
3429.71,,0.00620297
3429.87,,0.00712706
3430.0,,0.11546064
3430.1,,0.00011661
3430.27,,0.00709398
3430.7,,0.16585263
3431.49,,0.00891237
3431.74,,0.4740322
3431.84,,0.01074497
3431.98,,0.00891449
3432.02,,0.04981891
3432.37,,0.08652913
3432.83,,0.00708553
3434.16,,0.014355379999999997
3434.23,,0.0253174
3434.32,,0.012562979999999998
3434.33,,0.00887612
3434.34,,0.05765882
3434.73,,0.0289429
3435.1,,8.733e-05
3435.21,,0.08338788
3435.55,,0.25
3435.75,,1.5625215
3435.8,,0.01991664
3436.27,,0.01072854
3437.23,,0.0070704900000000005
3437.4,,0.02161874
3437.5,,0.02036363
3437.76,,0.00710206
3437.84,,0.02164085
3437.87,,0.00070592
3438.28,,0.03252062
3438.53,,0.00797603
3438.99,,0.04707191
3439.0,,0.00707494
3439.01,,0.29188257
3439.36,,0.01439048
3439.5,,0.00597897
3439.96,,0.0070802
3440.01,,0.01075433
3440.1,,0.00011627
3440.66,,0.06172834000000001
3441.1,,0.01798491
3441.43,,0.02883808
3441.85,,0.00342183
3443.44,,0.01798792
3444.15,,0.012541420000000001
3445.0,,1.04252039
3445.1,,8.708e-05
3447.28,,0.28493264
3448.0,,1.0
3448.5,,0.09163078
3449.5,,0.07174952
3449.74,,0.00707844
3450.0,,13.99602026
3450.1,,0.00026085
3450.24,,0.02898349
3451.0,,0.4624022
3451.92,,0.08690815
3453.0,,7.7324066
3453.1,,0.87052213
3455.0,,0.08683068
3456.0,,0.17939814
3456.78,,0.6321
3460.0,,0.28615606
3460.1,,0.0002023
3461.52,,0.0070212
3462.5,,6.5
3463.55,,0.14291694
3465.0,,0.05571717
3468.77,,0.01067103
3469.78,,0.14410135
3470.0,,1.3
