,timestamp,price,quantity,type,exchange
567,1554086597,4185.0,1.0588122,asks,gemini
68,1554086597,4045.0,0.0122398,bids,gemini
568,1554086597,4186.0,0.44376334,asks,gemini
69,1554086597,4041.19,0.03711777,bids,gemini
569,1554086597,4187.44,0.14,asks,gemini
70,1554086597,4040.0,1.1005,bids,gemini
570,1554086597,4188.88,0.1,asks,gemini
71,1554086597,4039.71,0.0495085,bids,gemini
571,1554086597,4190.0,1.0,asks,gemini
72,1554086597,4038.88,0.06189834,bids,gemini
572,1554086597,4190.09,12.767,asks,gemini
73,1554086597,4038.0,0.05386329,bids,gemini
573,1554086597,4192.02,20.0,asks,gemini
74,1554086597,4036.62,0.00868819,bids,gemini
574,1554086597,4195.0,0.5,asks,gemini
75,1554086597,4036.24,0.15,bids,gemini
575,1554086597,4195.31,0.25,asks,gemini
76,1554086597,4035.0,0.365,bids,gemini
576,1554086597,4196.0,1.0,asks,gemini
77,1554086597,4033.55,0.01239602,bids,gemini
577,1554086597,4197.0,0.08,asks,gemini
78,1554086597,4032.13,0.0124,bids,gemini
578,1554086597,4197.09,0.05,asks,gemini
79,1554086597,4030.32,0.00793981,bids,gemini
579,1554086597,4197.9,0.06,asks,gemini
80,1554086597,4030.1,7.443e-05,bids,gemini
580,1554086597,4198.0,5.0,asks,gemini
81,1554086597,4030.0,0.06141439,bids,gemini
581,1554086597,4200.0,8.66605704,asks,gemini
82,1554086597,4029.0,1.0,bids,gemini
582,1554086597,4202.69,1.2,asks,gemini
83,1554086597,4028.0,0.02457795,bids,gemini
583,1554086597,4205.0,0.15,asks,gemini
84,1554086597,4027.27,10.101,bids,gemini
584,1554086597,4207.0,0.3,asks,gemini
85,1554086597,4025.0,0.2796621,bids,gemini
585,1554086597,4207.93,0.00323,asks,gemini
86,1554086597,4024.0,0.05,bids,gemini
586,1554086597,4208.45,14.204,asks,gemini
87,1554086597,4023.0,0.07457121,bids,gemini
587,1554086597,4209.32,22.0,asks,gemini
88,1554086597,4021.0,0.01616513,bids,gemini
588,1554086597,4216.8,0.09,asks,gemini
89,1554086597,4020.1,7.462e-05,bids,gemini
589,1554086597,4219.8,0.25,asks,gemini
90,1554086597,4020.0,0.12750648,bids,gemini
590,1554086597,4222.0,0.5,asks,gemini
91,1554086597,4019.0,1.0,bids,gemini
591,1554086597,4223.0,7.26878136,asks,gemini
92,1554086597,4018.57,0.00218189,bids,gemini
592,1554086597,4227.19,0.2,asks,gemini
93,1554086597,4015.0,0.28636363,bids,gemini
593,1554086597,4230.0,2.16938941,asks,gemini
94,1554086597,4014.0,0.07473841,bids,gemini
594,1554086597,4230.34,12.0,asks,gemini
95,1554086597,4013.71,0.12434132,bids,gemini
595,1554086597,4236.06,0.001469,asks,gemini
96,1554086597,4012.0,0.02492522,bids,gemini
596,1554086597,4236.36,0.00088,asks,gemini
97,1554086597,4010.91,1.1613,bids,gemini
597,1554086597,4240.3,0.05,asks,gemini
98,1554086597,4010.56,0.23922008,bids,gemini
598,1554086597,4246.0,28.0,asks,gemini
99,1554086597,4010.5,0.02493454,bids,gemini
599,1554086597,4249.0,1.0,asks,gemini
100,1554086597,4010.1,7.481e-05,bids,gemini
600,1554086597,4250.0,31.32573951,asks,gemini
101,1554086597,4010.0,0.02493765,bids,gemini
601,1554086597,4255.9,0.25,asks,gemini
102,1554086597,4009.94,0.01093287,bids,gemini
602,1554086597,4256.29,0.001858,asks,gemini
103,1554086597,4009.32,0.09727335,bids,gemini
603,1554086597,4262.74,11.0,asks,gemini
104,1554086597,4009.0,0.3,bids,gemini
604,1554086597,4264.48,0.006829,asks,gemini
105,1554086597,4008.97,0.0012472,bids,gemini
605,1554086597,4265.0,0.00237135,asks,gemini
106,1554086597,4008.41,0.051282,bids,gemini
